Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Año,Mes,AñoMes,Canal,Ingreso Validado,Origen Precio,Origen Artículo,Estado Calidad
TXN_1372952,CUST_21,Furniture,Item_20_FUR,33.5,,,Digital Wallet,In-store,2024-04-02,Sí,2024,4,2024-04,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1809665,CUST_14,Beverages,Item_14_BEV,24.5,,,Credit Card,In-store,2022-05-11,Desconocido,2022,5,2022-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4206593,CUST_01,Furniture,Item_21_FUR,35.0,,,Digital Wallet,Online,2025-01-13,No,2025,1,2025-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3481599,CUST_05,Furniture,Item_24_FUR,39.5,,,Cash,Online,2022-09-08,No,2022,9,2022-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1621497,CUST_06,Patisserie,Item_13_PAT,23.0,,,Cash,In-store,2023-02-18,Desconocido,2023,2,2023-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4532214,CUST_25,Patisserie,Item_8_PAT,15.5,,,Credit Card,In-store,2024-03-25,No,2024,3,2024-03,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5419965,CUST_23,Computers and electric accessories,Item_11_CEA,20.0,,,Digital Wallet,Online,2024-01-16,No,2024,1,2024-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8210621,CUST_03,Beverages,Item_24_BEV,39.5,,,Digital Wallet,Online,2024-01-03,No,2024,1,2024-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8586300,CUST_11,Computers and electric accessories,Item_16_CEA,27.5,,,Credit Card,Online,2022-02-08,No,2022,2,2022-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1154680,CUST_25,Furniture,Item_21_FUR,35.0,,,Credit Card,Online,2022-12-18,No,2022,12,2022-12,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9177662,CUST_15,Furniture,Item_14_FUR,24.5,,,Cash,In-store,2024-09-30,Sí,2024,9,2024-09,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1175914,CUST_13,Butchers,Item_13_BUT,23.0,,,Cash,In-store,2023-05-19,No,2023,5,2023-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9610555,CUST_15,Beverages,Item_2_BEV,6.5,,,Cash,In-store,2022-11-15,No,2022,11,2022-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1811555,CUST_15,Food,Item_18_FOOD,30.5,,,Cash,Online,2023-07-31,Desconocido,2023,7,2023-07,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9246169,CUST_14,Electric household essentials,Item_23_EHE,38.0,,,Cash,Online,2023-08-16,No,2023,8,2023-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9410785,CUST_24,Furniture,Item_6_FUR,12.5,,,Digital Wallet,Online,2024-01-14,No,2024,1,2024-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9130896,CUST_03,Food,Item_11_FOOD,20.0,,,Digital Wallet,In-store,2022-05-17,Desconocido,2022,5,2022-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3096445,CUST_17,Computers and electric accessories,Item_19_CEA,32.0,,,Digital Wallet,In-store,2024-06-25,Desconocido,2024,6,2024-06,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8838958,CUST_01,Computers and electric accessories,Item_8_CEA,15.5,,,Cash,In-store,2024-11-08,Desconocido,2024,11,2024-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4351153,CUST_21,Food,Item_9_FOOD,17.0,,,Cash,In-store,2024-12-07,No,2024,12,2024-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2496138,CUST_22,Food,Item_5_FOOD,11.0,,,Cash,Online,2023-10-04,Desconocido,2023,10,2023-10,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3834320,CUST_18,Beverages,Item_14_BEV,24.5,,,Cash,In-store,2022-11-08,Sí,2022,11,2022-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6615809,CUST_20,Computers and electric accessories,Item_8_CEA,15.5,,,Credit Card,In-store,2023-06-22,Sí,2023,6,2023-06,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6908704,CUST_16,Electric household essentials,Item_15_EHE,26.0,,,Digital Wallet,In-store,2024-02-04,Sí,2024,2,2024-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7383288,CUST_10,Milk Products,Item_15_MILK,26.0,,,Digital Wallet,In-store,2022-08-12,Desconocido,2022,8,2022-08,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2771813,CUST_17,Electric household essentials,Item_25_EHE,41.0,,,Digital Wallet,Online,2022-06-10,Desconocido,2022,6,2022-06,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2346263,CUST_21,Electric household essentials,Item_6_EHE,12.5,,,Credit Card,In-store,2022-09-09,No,2022,9,2022-09,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3171192,CUST_13,Food,Item_15_FOOD,26.0,,,Cash,Online,2024-01-22,Sí,2024,1,2024-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9472812,CUST_04,Food,Item_5_FOOD,11.0,,,Digital Wallet,Online,2024-08-16,Desconocido,2024,8,2024-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3948610,CUST_07,Furniture,Item_20_FUR,33.5,,,Digital Wallet,In-store,2023-02-24,Desconocido,2023,2,2023-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5034035,CUST_08,Furniture,Item_4_FUR,9.5,,,Credit Card,Online,2024-08-25,No,2024,8,2024-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9923470,CUST_21,Patisserie,Item_1_PAT,5.0,,,Digital Wallet,In-store,2023-03-08,Sí,2023,3,2023-03,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9671023,CUST_22,Computers and electric accessories,Item_18_CEA,30.5,,,Credit Card,In-store,2024-11-02,Sí,2024,11,2024-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8482271,CUST_23,Patisserie,Item_11_PAT,20.0,,,Cash,Online,2022-01-05,Desconocido,2022,1,2022-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7068372,CUST_23,Computers and electric accessories,Item_13_CEA,23.0,,,Digital Wallet,In-store,2022-12-10,Desconocido,2022,12,2022-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6417831,CUST_22,Computers and electric accessories,Item_11_CEA,20.0,,,Credit Card,In-store,2024-01-05,No,2024,1,2024-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7461424,CUST_25,Beverages,Item_16_BEV,27.5,,,Cash,In-store,2024-11-23,Sí,2024,11,2024-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7705441,CUST_25,Milk Products,Item_15_MILK,26.0,,,Digital Wallet,Online,2022-02-27,No,2022,2,2022-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9637396,CUST_19,Electric household essentials,Item_12_EHE,21.5,,,Cash,Online,2024-09-04,Desconocido,2024,9,2024-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1909279,CUST_10,Electric household essentials,Item_14_EHE,24.5,,,Credit Card,Online,2024-06-12,Sí,2024,6,2024-06,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1534681,CUST_08,Food,Item_14_FOOD,24.5,,,Credit Card,In-store,2023-01-11,No,2023,1,2023-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2515470,CUST_07,Food,Item_3_FOOD,8.0,,,Credit Card,Online,2023-09-20,Desconocido,2023,9,2023-09,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8110567,CUST_02,Beverages,Item_20_BEV,33.5,,,Digital Wallet,In-store,2022-04-12,Sí,2022,4,2022-04,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3499525,CUST_02,Beverages,Item_8_BEV,15.5,,,Digital Wallet,Online,2024-02-16,Desconocido,2024,2,2024-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8988049,CUST_01,Milk Products,Item_3_MILK,8.0,,,Digital Wallet,In-store,2023-06-27,No,2023,6,2023-06,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9887959,CUST_24,Beverages,Item_12_BEV,21.5,,,Cash,Online,2023-08-09,Sí,2023,8,2023-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1995311,CUST_23,Patisserie,Item_23_PAT,38.0,,,Cash,In-store,2024-05-16,No,2024,5,2024-05,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2677539,CUST_15,Food,Item_24_FOOD,39.5,,,Cash,In-store,2022-08-31,No,2022,8,2022-08,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5980975,CUST_13,Furniture,Item_1_FUR,5.0,,,Credit Card,Online,2023-08-01,Desconocido,2023,8,2023-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3368345,CUST_25,Furniture,Item_6_FUR,12.5,,,Credit Card,In-store,2022-10-03,No,2022,10,2022-10,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7113206,CUST_09,Milk Products,Item_16_MILK,27.5,,,Digital Wallet,In-store,2023-07-28,Desconocido,2023,7,2023-07,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3704834,CUST_07,Electric household essentials,Item_17_EHE,29.0,,,Cash,Online,2022-07-06,No,2022,7,2022-07,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9620768,CUST_07,Butchers,Item_12_BUT,21.5,,,Cash,Online,2024-04-06,Sí,2024,4,2024-04,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9025948,CUST_21,Beverages,Item_3_BEV,8.0,,,Digital Wallet,In-store,2023-12-25,Sí,2023,12,2023-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2126674,CUST_16,Milk Products,Item_24_MILK,39.5,,,Digital Wallet,In-store,2024-10-29,No,2024,10,2024-10,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3053471,CUST_16,Beverages,Item_17_BEV,29.0,,,Cash,Online,2024-06-09,Desconocido,2024,6,2024-06,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4737365,CUST_05,Furniture,Item_14_FUR,24.5,,,Digital Wallet,Online,2023-11-02,Sí,2023,11,2023-11,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1446103,CUST_20,Butchers,Item_2_BUT,6.5,,,Cash,In-store,2022-07-29,Sí,2022,7,2022-07,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8615445,CUST_01,Beverages,Item_12_BEV,21.5,,,Credit Card,In-store,2022-12-22,No,2022,12,2022-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7297595,CUST_19,Furniture,Item_24_FUR,39.5,,,Cash,In-store,2022-01-07,Desconocido,2022,1,2022-01,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7819515,CUST_13,Butchers,Item_6_BUT,12.5,,,Cash,Online,2022-02-15,No,2022,2,2022-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9999124,CUST_02,Butchers,Item_22_BUT,36.5,,,Digital Wallet,In-store,2024-02-21,No,2024,2,2024-02,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7075100,CUST_20,Patisserie,Item_25_PAT,41.0,,,Digital Wallet,Online,2024-02-16,Sí,2024,2,2024-02,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_1276885,CUST_23,Patisserie,Item_1_PAT,5.0,,,Cash,In-store,2024-12-30,Desconocido,2024,12,2024-12,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_7729357,CUST_08,Milk Products,Item_7_MILK,14.0,,,Credit Card,Online,2024-06-19,Desconocido,2024,6,2024-06,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9773979,CUST_05,Computers and electric accessories,Item_3_CEA,8.0,,,Digital Wallet,Online,2024-11-04,No,2024,11,2024-11,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2164614,CUST_07,Furniture,Item_2_FUR,6.5,,,Digital Wallet,Online,2023-05-18,Desconocido,2023,5,2023-05,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2500042,CUST_13,Computers and electric accessories,Item_21_CEA,35.0,,,Digital Wallet,Online,2023-04-15,Sí,2023,4,2023-04,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_2082664,CUST_06,Beverages,Item_15_BEV,26.0,,,Digital Wallet,Online,2024-05-30,Sí,2024,5,2024-05,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_3988616,CUST_01,Butchers,Item_23_BUT,38.0,,,Digital Wallet,In-store,2024-09-17,Desconocido,2024,9,2024-09,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_5069186,CUST_17,Electric household essentials,Item_2_EHE,6.5,,,Credit Card,Online,2023-01-10,Desconocido,2023,1,2023-01,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_6126106,CUST_10,Milk Products,Item_18_MILK,30.5,,,Digital Wallet,Online,2022-08-31,Desconocido,2022,8,2022-08,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_4880929,CUST_20,Butchers,Item_3_BUT,8.0,,,Digital Wallet,In-store,2023-11-03,Sí,2023,11,2023-11,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_9469569,CUST_08,Food,Item_6_FOOD,12.5,,,Digital Wallet,In-store,2023-10-09,Desconocido,2023,10,2023-10,In-store,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
TXN_8093982,CUST_12,Beverages,Item_16_BEV,27.5,,,Credit Card,Online,2022-03-11,Sí,2022,3,2022-03,Online,,Original,Inferido: categoría + precio único,Importe/cantidad no recuperable
